Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCF_003413375.1	ASM341337v1	Pseudomonas savastanoi pv. phaseolicola		526					PRJNA481030	SAMN09655438
GCA_003412965.1	ASM341296v1	Pseudomonas savastanoi pv. phaseolicola		527					PRJNA481030	SAMN09655439
GCF_003412965.1	ASM341296v1	Pseudomonas savastanoi pv. phaseolicola		527					PRJNA481030	SAMN09655439
GCA_003413365.1	ASM341336v1	Pseudomonas savastanoi pv. phaseolicola		528					PRJNA481030	SAMN09655440
GCF_003413365.1	ASM341336v1	Pseudomonas savastanoi pv. phaseolicola		528					PRJNA481030	SAMN09655440
GCA_003700295.1	ASM370029v1	Pseudomonas savastanoi pv. phaseolicola		ICMP 637					PRJNA292453	SAMN03976427
GCF_003700295.1	ASM370029v1	Pseudomonas savastanoi pv. phaseolicola		ICMP 637					PRJNA292453	SAMN03976427
GCA_003703035.1	ASM370303v1	Pseudomonas savastanoi pv. phaseolicola		K4					PRJNA292453	SAMN03976337
GCF_003703035.1	ASM370303v1	Pseudomonas savastanoi pv. phaseolicola		K4					PRJNA292453	SAMN03976337
GCA_003701825.1	ASM370182v1	Pseudomonas savastanoi pv. phaseolicola		KN86					PRJNA292453	SAMN03976378
GCF_003701825.1	ASM370182v1	Pseudomonas savastanoi pv. phaseolicola		KN86					PRJNA292453	SAMN03976378
GCA_003412995.1	ASM341299v1	Pseudomonas savastanoi pv. phaseolicola		524					PRJNA481030	SAMN09655436
GCF_003412995.1	ASM341299v1	Pseudomonas savastanoi pv. phaseolicola		524					PRJNA481030	SAMN09655436
GCA_001294025.1	Pph1302A	Pseudomonas savastanoi pv. phaseolicola		1302A					PRJNA287071	SAMN03837771
GCF_001294025.1	Pph1302A	Pseudomonas savastanoi pv. phaseolicola		1302A					PRJNA287071	SAMN03837771
GCA_001400605.1	PphICMP2740	Pseudomonas savastanoi pv. phaseolicola		ICMP2740					PRJNA292453	SAMN03976265
GCF_001400605.1	PphICMP2740	Pseudomonas savastanoi pv. phaseolicola		ICMP 2740					PRJNA292453	SAMN03976265
GCA_003413115.1	ASM341311v1	Pseudomonas savastanoi pv. phaseolicola		515					PRJNA481030	SAMN09655427
GCF_003413115.1	ASM341311v1	Pseudomonas savastanoi pv. phaseolicola		515					PRJNA481030	SAMN09655427
GCA_003700625.1	ASM370062v1	Pseudomonas savastanoi pv. phaseolicola		ICMP 5059					PRJNA292453	SAMN03976471
GCF_003700625.1	ASM370062v1	Pseudomonas savastanoi pv. phaseolicola		ICMP 5059					PRJNA292453	SAMN03976471
GCA_001294065.1	PphY5_2	Pseudomonas savastanoi pv. phaseolicola		Y5_2					PRJNA287074	SAMN03837774
GCF_001294065.1	PphY5_2	Pseudomonas savastanoi pv. phaseolicola		Y5_2					PRJNA287074	SAMN03837774
GCA_003413095.1	ASM341309v1	Pseudomonas savastanoi pv. phaseolicola		516					PRJNA481030	SAMN09655428
GCF_003413095.1	ASM341309v1	Pseudomonas savastanoi pv. phaseolicola		516					PRJNA481030	SAMN09655428
GCA_003413075.1	ASM341307v1	Pseudomonas savastanoi pv. phaseolicola		519					PRJNA481030	SAMN09655431
GCF_003413075.1	ASM341307v1	Pseudomonas savastanoi pv. phaseolicola		519					PRJNA481030	SAMN09655431
GCA_001294105.1	PphNPS3121	Pseudomonas savastanoi pv. phaseolicola		NPS3121					PRJNA287073	SAMN03837773
GCF_001294105.1	PphNPS3121	Pseudomonas savastanoi pv. phaseolicola		NPS3121					PRJNA287073	SAMN03837773
GCA_003412855.1	ASM341285v1	Pseudomonas savastanoi pv. phaseolicola		535					PRJNA481030	SAMN09655446
GCF_003412855.1	ASM341285v1	Pseudomonas savastanoi pv. phaseolicola		535					PRJNA481030	SAMN09655446
GCA_003412865.1	ASM341286v1	Pseudomonas savastanoi pv. phaseolicola		533					PRJNA481030	SAMN09655445
GCF_003412865.1	ASM341286v1	Pseudomonas savastanoi pv. phaseolicola		533					PRJNA481030	SAMN09655445
GCA_003412905.1	ASM341290v1	Pseudomonas savastanoi pv. phaseolicola		532					PRJNA481030	SAMN09655444
GCF_003412905.1	ASM341290v1	Pseudomonas savastanoi pv. phaseolicola		532					PRJNA481030	SAMN09655444
