BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJNA1070346,cluster18,cluster43,cluster144,cluster136,cluster19,cluster18,1
PRJNA1070346,cluster18,cluster43,cluster147,cluster154,cluster19,cluster18,1
PRJNA1070346,cluster18,cluster43,cluster209,cluster153,cluster137,cluster18,1
PRJNA1070346,cluster18,cluster43,cluster45,cluster194,cluster39,cluster18,1
PRJNA1070346,cluster18,cluster71,cluster140,cluster141,cluster19,cluster14,4
PRJNA1070346,cluster18,cluster71,cluster147,cluster141,cluster19,cluster129,1
PRJNA1070346,cluster18,cluster71,cluster147,cluster191,cluster39,cluster14,1
PRJNA12416,cluster2,cluster2,cluster2,cluster2,cluster2,cluster2,1
PRJNA165717,cluster2,cluster11,cluster11,cluster15,cluster16,cluster4,1
PRJNA165721,cluster7,cluster5,cluster8,cluster25,cluster14,cluster5,1
PRJNA167409,cluster7,cluster22,cluster24,cluster22,cluster22,cluster5,1
PRJNA167413,cluster7,cluster22,cluster24,cluster22,cluster22,cluster5,1
PRJNA167416,cluster7,cluster22,cluster24,cluster22,cluster22,cluster5,1
PRJNA167422,cluster7,cluster22,cluster24,cluster22,cluster22,cluster5,1
PRJNA167426,cluster7,cluster5,cluster8,cluster8,cluster8,cluster5,1
PRJNA167430,cluster7,cluster5,cluster8,cluster8,cluster8,cluster5,1
PRJNA167435,cluster7,cluster5,cluster8,cluster25,cluster14,cluster5,1
PRJNA169408,cluster8,cluster21,cluster23,cluster21,cluster21,cluster6,1
PRJNA169521,cluster8,cluster21,cluster23,cluster21,cluster21,cluster6,1
PRJNA169522,cluster5,cluster20,cluster22,cluster20,cluster6,cluster6,1
PRJNA178798,cluster7,cluster22,cluster8,cluster23,cluster23,cluster5,1
PRJNA179101,cluster12,cluster5,cluster8,cluster8,cluster14,cluster5,1
PRJNA180994,cluster8,cluster19,cluster21,cluster19,cluster20,cluster15,1
PRJNA181198,cluster8,cluster24,cluster10,cluster21,cluster20,cluster6,1
PRJNA196532,cluster16,cluster23,cluster25,cluster24,cluster24,cluster16,1
PRJNA19697,cluster10,cluster14,cluster15,cluster9,cluster13,cluster5,1
PRJNA198193,cluster5,cluster3,cluster27,cluster41,cluster3,cluster3,1
PRJNA198196,cluster20,cluster16,cluster33,cluster30,cluster47,cluster6,1
PRJNA19911,cluster15,cluster18,cluster20,cluster18,cluster19,cluster14,1
PRJNA202281,cluster5,cluster51,cluster57,cluster30,cluster6,cluster34,1
PRJNA210127,cluster8,cluster24,cluster54,cluster21,cluster46,cluster21,1
PRJNA210128,cluster8,cluster49,cluster19,cluster51,cluster25,cluster6,1
PRJNA211378,cluster27,cluster37,cluster40,cluster37,cluster34,cluster25,1
PRJNA211384,cluster26,cluster36,cluster39,cluster36,cluster33,cluster5,1
PRJNA211390,cluster24,cluster35,cluster38,cluster35,cluster32,cluster24,1
PRJNA211394,cluster25,cluster34,cluster36,cluster34,cluster31,cluster23,1
PRJNA211397,cluster24,cluster33,cluster37,cluster33,cluster32,cluster24,1
PRJNA211400,cluster28,cluster36,cluster41,cluster38,cluster35,cluster5,1
PRJNA211401,cluster23,cluster32,cluster36,cluster32,cluster31,cluster23,1
PRJNA211404,cluster22,cluster31,cluster35,cluster31,cluster30,cluster22,1
PRJNA211406,cluster21,cluster30,cluster34,cluster12,cluster29,cluster10,1
PRJNA211409,cluster8,cluster29,cluster10,cluster21,cluster28,cluster21,1
PRJNA211412,cluster20,cluster6,cluster33,cluster30,cluster28,cluster6,1
PRJNA211415,cluster5,cluster28,cluster32,cluster3,cluster26,cluster20,1
PRJNA211417,cluster19,cluster5,cluster31,cluster8,cluster27,cluster5,1
PRJNA211418,cluster5,cluster16,cluster30,cluster29,cluster26,cluster19,1
PRJNA211420,cluster18,cluster27,cluster29,cluster28,cluster19,cluster18,1
PRJNA211421,cluster17,cluster26,cluster28,cluster27,cluster19,cluster17,1
PRJNA211606,cluster8,cluster25,cluster26,cluster21,cluster25,cluster6,1
PRJNA211607,cluster5,cluster3,cluster27,cluster26,cluster3,cluster6,1
PRJNA212371,cluster5,cluster3,cluster27,cluster41,cluster3,cluster3,1
PRJNA227265,cluster8,cluster38,cluster10,cluster39,cluster20,cluster26,1
PRJNA232591,cluster29,cluster39,cluster42,cluster40,cluster36,cluster27,1
PRJNA235155,cluster8,cluster38,cluster10,cluster39,cluster20,cluster26,1
PRJNA251981,cluster2,cluster2,cluster14,cluster13,cluster11,cluster11,1
PRJNA253460,cluster8,cluster42,cluster10,cluster44,cluster20,cluster6,1
PRJNA255815,cluster31,cluster41,cluster44,cluster43,cluster38,cluster29,1
PRJNA255816,cluster30,cluster40,cluster43,cluster42,cluster37,cluster28,1
PRJNA263089,cluster10,cluster14,cluster15,cluster9,cluster13,cluster5,1
PRJNA263429,cluster36,cluster52,cluster58,cluster54,cluster50,cluster35,1
PRJNA263532,cluster15,cluster18,cluster20,cluster18,cluster19,cluster14,1
PRJNA263652,cluster8,cluster42,cluster10,cluster44,cluster20,cluster6,1
PRJNA266479,cluster9,cluster13,cluster56,cluster53,cluster49,cluster10,1
PRJNA266491,cluster9,cluster13,cluster56,cluster53,cluster49,cluster10,1
PRJNA269236,cluster2,cluster44,cluster46,cluster15,cluster16,cluster4,1
PRJNA270634,cluster18,cluster43,cluster45,cluster45,cluster39,cluster18,1
PRJNA274666,cluster32,cluster45,cluster47,cluster46,cluster40,cluster4,1
PRJNA274667,cluster33,cluster46,cluster51,cluster48,cluster43,cluster31,1
PRJNA274668,cluster2,cluster2,cluster14,cluster13,cluster11,cluster11,1
PRJNA274669,cluster8,cluster42,cluster10,cluster17,cluster20,cluster6,1
PRJNA274670,cluster5,cluster48,cluster53,cluster50,cluster45,cluster32,1
PRJNA274688,cluster2,cluster46,cluster49,cluster47,cluster41,cluster30,1
PRJNA274689,cluster1,cluster14,cluster50,cluster9,cluster42,cluster8,1
